route_type;case;origin_destination;departure_time;player;itinerary;leg;duration_leg;modal;line;fare
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;8;3;167;WALK;;765
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;8;4;756;SUBWAY;METRÔ L4;765
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;8;5;475;WALK;;765
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;9;1;727;WALK;;765
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;9;2;1685;RAIL;CPTM L11;765
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;9;3;167;WALK;;765
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;9;4;756;SUBWAY;METRÔ L4;765
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;9;5;475;WALK;;765
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;10;1;1033;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;10;2;433;BUS;3751-10;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;10;3;127;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;10;4;2133;BUS;N308-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;10;5;332;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;10;6;1309;BUS;N801-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;10;7;137;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;11;1;229;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;11;2;262;BUS;3027-10;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;11;3;23;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;11;4;1071;BUS;N403-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;11;5;384;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;11;6;2133;BUS;N308-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;11;7;332;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;11;8;1309;BUS;N801-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;11;9;137;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;12;1;428;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;12;2;2214;BUS;N439-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;12;3;112;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;12;4;2133;BUS;N308-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;12;5;332;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;12;6;1309;BUS;N801-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;12;7;137;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;13;1;1216;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;13;2;2139;BUS;253F-10;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;13;3;94;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;13;4;2484;BUS;N301-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;13;5;92;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;13;6;1386;BUS;N801-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;13;7;137;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;14;1;896;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;14;2;1320;BUS;N438-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;14;3;109;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;14;4;2133;BUS;N308-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;14;5;332;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;14;6;1309;BUS;N801-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;14;7;137;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;15;1;28;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;15;2;96;BUS;3732-10;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;15;3;1440;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;15;4;686;BUS;N306-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;15;5;129;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;15;6;1886;BUS;N304-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;15;7;1200;BUS;N302-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;15;8;17;WALK;;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;15;9;1885;BUS;N307-11;430
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 00:52;OTP;15;10;202;WALK;;430
