route_type;case;origin_destination;departure_time;player;itinerary;leg;duration_leg;modal;line;fare;itinerary_duration
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;2;4;2022;RAIL;CPTM L11;765;6106
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;2;5;151;WALK;;765;6106
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;2;6;963;SUBWAY;METRÔ L1;765;6106
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;2;7;11;WALK;;765;6106
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;2;8;1521;SUBWAY;METRÔ L5;765;6106
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;2;9;129;WALK;;765;6106
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;3;1;195;WALK;;765;6254
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;3;2;618;BUS;342N-10;765;6254
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;3;3;119;WALK;;765;6254
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;3;4;2022;RAIL;CPTM L11;765;6254
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;3;5;151;WALK;;765;6254
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;3;6;963;SUBWAY;METRÔ L1;765;6254
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;3;7;11;WALK;;765;6254
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;3;8;1521;SUBWAY;METRÔ L5;765;6254
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;3;9;129;WALK;;765;6254
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;4;1;195;WALK;;765;6346
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;4;2;520;BUS;342N-10;765;6346
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;4;3;119;WALK;;765;6346
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;4;4;2022;RAIL;CPTM L11;765;6346
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;4;5;151;WALK;;765;6346
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;4;6;963;SUBWAY;METRÔ L1;765;6346
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;4;7;11;WALK;;765;6346
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;4;8;1521;SUBWAY;METRÔ L5;765;6346
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;4;9;129;WALK;;765;6346
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;5;1;311;WALK;;765;7207
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;5;2;765;BUS;407J-10;765;7207
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;5;3;75;WALK;;765;7207
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;5;4;2022;RAIL;CPTM L11;765;7207
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;5;5;151;WALK;;765;7207
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;5;6;963;SUBWAY;METRÔ L1;765;7207
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;5;7;29;WALK;;765;7207
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;5;8;2628;BUS;675L-10;765;7207
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;OTP;5;9;88;WALK;;765;7207
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;1;1;885;WALK;;748;4856
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;1;2;606;BUS;6074-10;748;4856
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;1;3;142;WALK;;748;4856
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;1;4;1700;RAIL;CPTM L09;748;4856
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;1;5;513;WALK;;748;4856
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;1;6;686;BUS;8022-10;748;4856
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;1;7;130;WALK;;748;4856
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;2;1;820;WALK;;748;5003
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;2;2;888;BUS;6960-10;748;5003
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;2;3;235;WALK;;748;5003
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;2;4;1530;RAIL;CPTM L09;748;5003
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;2;5;324;WALK;;748;5003
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;2;6;750;BUS;809U-10;748;5003
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;2;7;57;WALK;;748;5003
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;3;1;710;WALK;;748;5145
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;3;2;920;BUS;6076-10;748;5145
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;3;3;165;WALK;;748;5145
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;3;4;2040;RAIL;CPTM L09;748;5145
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;3;5;324;WALK;;748;5145
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;3;6;750;BUS;809U-10;748;5145
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;3;7;57;WALK;;748;5145
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;4;1;710;WALK;;748;5468
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;4;2;920;BUS;6076-10;748;5468
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;4;3;165;WALK;;748;5468
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;4;4;2040;RAIL;CPTM L09;748;5468
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;4;5;513;WALK;;748;5468
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;4;6;686;BUS;8022-10;748;5468
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;4;7;130;WALK;;748;5468
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;5;1;350;WALK;;748;5612
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;5;2;1560;BUS;6076-41;748;5612
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;5;3;235;WALK;;748;5612
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;5;4;1360;RAIL;CPTM L09;748;5612
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;5;5;366;WALK;;748;5612
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;5;6;1092;BUS;177H-10;748;5612
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;OTP;5;7;57;WALK;;748;5612
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;1;1;531;WALK;;765;4070
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;1;2;1440;RAIL;CPTM L11;765;4070
LO;1;"-23.542238,-46.436435;-23.571924,-46.690373";08-30-2019 08:07;Google;1;3;248;WALK;;765;4070
